,name_of_img,lane change (0/1)
0,0021.jpg,0
1,0022.jpg,0
2,0023.jpg,0
3,0024.jpg,0
4,0025.jpg,0
5,0026.jpg,0
6,0027.jpg,0
7,0028.jpg,0
8,0029.jpg,0
9,0030.jpg,0
10,0031.jpg,0
11,0032.jpg,0
12,0033.jpg,0
13,0034.jpg,0
14,0035.jpg,0
15,0036.jpg,0
16,0037.jpg,0
17,0038.jpg,0
18,0039.jpg,0
19,0040.jpg,0
20,0041.jpg,0
21,0042.jpg,0
22,0043.jpg,0
23,0044.jpg,0
24,0045.jpg,0
25,0046.jpg,0
26,0047.jpg,1
27,0048.jpg,1
28,0049.jpg,1
29,0050.jpg,0
30,0051.jpg,1
31,0052.jpg,1
32,0053.jpg,1
33,0054.jpg,1
34,0055.jpg,1
35,0056.jpg,1
36,0057.jpg,1
37,0058.jpg,1
38,0059.jpg,1
39,0060.jpg,1
40,0061.jpg,1
41,0062.jpg,1
42,0063.jpg,1
43,0064.jpg,1
44,0065.jpg,1
45,0066.jpg,1
46,0067.jpg,1
47,0068.jpg,1
48,0069.jpg,1
49,0070.jpg,1
50,0071.jpg,1
51,0072.jpg,1
52,0073.jpg,1
53,0074.jpg,1
54,0075.jpg,1
55,0076.jpg,1
56,0077.jpg,1
57,0078.jpg,1
58,0079.jpg,1
59,0080.jpg,1
60,0081.jpg,1
61,0082.jpg,1
62,0083.jpg,1
63,0084.jpg,1
64,0085.jpg,1
65,0086.jpg,1
66,0087.jpg,1
67,0088.jpg,1
68,0089.jpg,1
69,0090.jpg,1
70,0091.jpg,1
71,0092.jpg,1
72,0093.jpg,1
73,0094.jpg,1
74,0095.jpg,1
75,0096.jpg,1
76,0097.jpg,1
77,0098.jpg,1
78,0099.jpg,1
79,0100.jpg,1
80,0101.jpg,1
81,0102.jpg,1
82,0103.jpg,1
83,0104.jpg,1
84,0105.jpg,1
85,0106.jpg,1
86,0107.jpg,1
87,0108.jpg,1
88,0109.jpg,1
89,0110.jpg,1
90,0111.jpg,1
91,0112.jpg,1
92,0113.jpg,1
93,0114.jpg,1
94,0115.jpg,1
95,0116.jpg,1
96,0117.jpg,1
97,0118.jpg,1
98,0119.jpg,1
99,0120.jpg,1
100,0121.jpg,1
101,0122.jpg,1
102,0123.jpg,1
103,0124.jpg,1
104,0125.jpg,1
105,0126.jpg,1
106,0127.jpg,1
107,0128.jpg,1
108,0129.jpg,1
109,0130.jpg,1
110,0131.jpg,1
111,0132.jpg,1
112,0133.jpg,1
113,0134.jpg,1
114,0135.jpg,1
115,0136.jpg,1
116,0137.jpg,1
117,0138.jpg,1
118,0139.jpg,1
119,0140.jpg,1
120,0141.jpg,1
121,0142.jpg,1
122,0143.jpg,1
123,0144.jpg,1
124,0145.jpg,1
125,0146.jpg,1
126,0147.jpg,1
127,0148.jpg,1
128,0149.jpg,1
129,0150.jpg,1
130,0151.jpg,1
131,0152.jpg,1
132,0153.jpg,1
133,0154.jpg,1
134,0155.jpg,1
135,0156.jpg,1
136,0157.jpg,1
137,0158.jpg,1
138,0159.jpg,0
139,0160.jpg,0
140,0161.jpg,1
141,0162.jpg,0
142,0163.jpg,1
143,0164.jpg,1
144,0165.jpg,1
145,0166.jpg,1
146,0167.jpg,1
147,0168.jpg,1
148,0169.jpg,1
149,0170.jpg,1
150,0171.jpg,1
151,0172.jpg,1
152,0173.jpg,1
153,0174.jpg,1
154,0175.jpg,1
155,0176.jpg,0
156,0177.jpg,0
157,0178.jpg,0
158,0179.jpg,0
159,0180.jpg,0
160,0181.jpg,0
161,0182.jpg,0
162,0183.jpg,0
163,0184.jpg,0
164,0185.jpg,0
165,0186.jpg,0
166,0187.jpg,0
167,0188.jpg,0
168,0189.jpg,0
169,0190.jpg,0
170,0191.jpg,0
171,0192.jpg,0
172,0193.jpg,0
173,0194.jpg,0
174,0195.jpg,0
175,0196.jpg,0
176,0197.jpg,0
177,0198.jpg,0
178,0199.jpg,0
179,0200.jpg,0
180,0201.jpg,0
181,0202.jpg,0
182,0203.jpg,0
183,0204.jpg,0
184,0205.jpg,0
185,0206.jpg,0
186,0207.jpg,0
187,0208.jpg,0
188,0209.jpg,0
189,0210.jpg,0
190,0211.jpg,0
191,0212.jpg,0
192,0213.jpg,0
193,0214.jpg,0
194,0215.jpg,0
195,0216.jpg,0
196,0217.jpg,0
197,0218.jpg,0
198,0219.jpg,0
199,0220.jpg,0
200,0221.jpg,0
201,0222.jpg,0
202,0223.jpg,0
203,0224.jpg,0
204,0225.jpg,0
205,0226.jpg,0
206,0227.jpg,0
207,0228.jpg,0
208,0229.jpg,0
209,0230.jpg,0
210,0231.jpg,0
211,0232.jpg,0
212,0233.jpg,0
213,0234.jpg,0
214,0235.jpg,0
215,0236.jpg,0
216,0237.jpg,0
217,0238.jpg,0
218,0239.jpg,0
219,0240.jpg,0
220,0241.jpg,0
221,0242.jpg,0
222,0243.jpg,0
223,0244.jpg,0
224,0245.jpg,0
225,0246.jpg,0
226,0247.jpg,0
227,0248.jpg,0
228,0249.jpg,0
229,0250.jpg,0
230,0251.jpg,0
231,0252.jpg,0
232,0253.jpg,0
233,0254.jpg,0
234,0255.jpg,0
235,0256.jpg,0
236,0257.jpg,0
237,0258.jpg,0
238,0259.jpg,0
239,0260.jpg,0
240,0261.jpg,0
241,0262.jpg,0
242,0263.jpg,0
243,0264.jpg,0
244,0265.jpg,0
245,0266.jpg,0
246,0267.jpg,0
247,0268.jpg,0
248,0269.jpg,0
249,0270.jpg,0
250,0271.jpg,0
251,0272.jpg,0
252,0273.jpg,0
253,0274.jpg,0
254,0275.jpg,0
255,0276.jpg,0
256,0277.jpg,0
257,0278.jpg,0
258,0279.jpg,0
259,0280.jpg,0
